scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,std_dev,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,composite_return,rari,net_return,fund_size_category,return_consistency,cluster,risk_cluster_label,investment_score,positive_1yr,rank_by_score,rank_by_return,rank_by_sharpe,is_top50
Kotak Banking and PSU Debt Fund,1000,5000,0.37,5256.0,10,Deepak Agrawal,1.87,4.03,2.03,1.45,1.03,3,Kotak Mahindra Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.7,6.7,7.5,6.66,3.2807881773399017,6.29,Large (5K–20K Cr),72.05111252077717,1,⭐ High Return / Low Risk,34.01,True,547,582,553,False
Kotak Bluechip Fund,100,1000,0.64,5259.0,10,Harish Krishnan,3.48,1.75,15.3,0.91,1.45,6,Kotak Mahindra Mutual Fund,5,Equity,Large Cap Mutual Funds,3.3,26.8,12.6,15.71,1.026797385620915,15.07,Large (5K–20K Cr),61.6584974455677,0,📈 High Return / Moderate Risk,55.0,True,150,183,269,False
Kotak Bond – Short Term Fund,1000,5000,0.36,12203.0,10,Deepak Agrawal,1.89,4.73,1.76,2.06,1.12,3,Kotak Mahindra Mutual Fund,3,Debt,Short Duration Funds,4.4,6.5,7.2,6.3950000000000005,3.633522727272728,6.035,Large (5K–20K Cr),72.03616683133647,1,⭐ High Return / Low Risk,34.75,True,514,633,514,False
Kotak Bond Fund,1000,5000,0.63,1584.0,10,Abhishek Bisen,0.72,1.47,3.19,1.57,0.6,2,Kotak Mahindra Mutual Fund,3,Debt,Medium to Long Duration Funds,4.1,6.4,7.7,6.525,2.0454545454545454,5.8950000000000005,Mid (500–5K Cr),71.67033184244605,1,⭐ High Return / Low Risk,26.48,True,742,597,700,False
Kotak Corporate Bond Fund,1000,5000,0.32,8880.0,10,Deepak Agrawal,2.25,1.73,1.54,0.59,1.23,2,Kotak Mahindra Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.5,6.4,7.1,6.334999999999999,4.113636363636363,6.014999999999999,Large (5K–20K Cr),72.14797062625539,1,⭐ High Return / Low Risk,34.51,True,527,645,471,False
Kotak Credit Risk Fund,1000,5000,0.74,1204.0,10,Deepak Agrawal,0.42,0.82,2.92,-0.4,0.47,5,Kotak Mahindra Mutual Fund,2,Debt,Credit Risk Funds,1.6,5.9,6.4,5.265000000000001,1.8030821917808224,4.525,Mid (500–5K Cr),70.85452016656079,1,⭐ High Return / Low Risk,22.55,True,779,750,722,False
Kotak Debt Hybrid Fund,1000,5000,0.44,1650.0,10,Devender Singhal,3.44,4.79,4.73,0.7,2.06,4,Kotak Mahindra Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10.0,10.725,2.267441860465116,10.285,Mid (500–5K Cr),69.39170733700514,0,📈 High Return / Moderate Risk,49.38,True,228,427,20,False
Kotak Dynamic Bond Fund,1000,5000,0.4,1992.0,10,Deepak Agrawal,1.0,1.66,2.95,1.32,0.69,3,Kotak Mahindra Mutual Fund,4,Debt,Dynamic Bond,3.9,6.6,7.8,6.6,2.23728813559322,6.199999999999999,Mid (500–5K Cr),71.49583459541894,1,⭐ High Return / Low Risk,29.91,True,664,587,683,False
Kotak Emerging Equity Fund,100,100,0.49,23962.0,10,Pankaj Tibrewal,3.73,3.18,16.42,0.9,1.82,6,Kotak Mahindra Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.6,34.0,15.2,20.06,1.2216808769792933,19.57,Giant (>20K Cr),59.48048178648007,0,📈 High Return / Moderate Risk,68.98,True,44,58,83,True
Kotak Equity Arbitrage Fund,1000,5000,0.43,21917.0,10,Hiten Shah,1.46,1.66,0.75,0.54,1.26,1,Kotak Mahindra Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.8,4.9,5.6,5.395,7.1933333333333325,4.965,Giant (>20K Cr),73.0207514683375,1,⭐ High Return / Low Risk,32.38,True,600,736,452,False
Kotak Equity Hybrid Fund,1000,5000,0.58,3269.0,8,Pankaj Tibrewal,3.89,7.32,11.76,0.79,1.86,6,Kotak Mahindra Mutual Fund,0,Hybrid,Aggressive Hybrid Mutual Funds,5.0,26.9,12.8,16.175,1.3754251700680271,15.595,Mid (500–5K Cr),62.39333303096276,0,📈 High Return / Moderate Risk,61.57,True,82,167,69,False
Kotak Equity Opportunities – Direct Growth,500,500,0.6,11608.0,10,Harsha Upadhyaya,3.43,4.72,14.62,0.84,1.64,6,Kotak Mahindra Mutual Fund,4,Equity,Large & Mid Cap Funds,6.2,28.8,13.9,17.575,1.2021203830369358,16.974999999999998,Large (5K–20K Cr),62.00377255198882,0,📈 High Return / Moderate Risk,61.28,True,85,120,144,False
Kotak Equity Savings Fund,1000,5000,1.02,2097.0,8,Devender Singhal,4.22,4.5,5.64,0.79,1.8,4,Kotak Mahindra Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2,10.5,1.8617021276595749,9.48,Mid (500–5K Cr),69.5217674286677,0,📈 High Return / Moderate Risk,41.03,True,364,435,87,False
Kotak Flexi Cap Fund,500,5000,0.68,35775.0,10,Harsha Upadhyaya,2.7,0.11,15.22,0.88,1.37,6,Kotak Mahindra Mutual Fund,3,Equity,Flexi Cap Funds,3.8,25.0,11.7,14.775,0.9707621550591324,14.095,Giant (>20K Cr),62.77932351071311,0,📈 High Return / Moderate Risk,51.1,True,205,223,339,False
Kotak Floating Rate Fund,1000,5000,0.22,4796.0,4,Deepak Agrawal,1.86,3.79,2.35,1.03,1.02,2,Kotak Mahindra Mutual Fund,2,Debt,Floater Mutual Funds,4.6,7.0,8.9,7.375,3.1382978723404253,7.155,Mid (500–5K Cr),71.33849351644356,1,⭐ High Return / Low Risk,36.29,True,470,525,559,False
Kotak Focused Equity Fund,1000,5000,0.51,2447.0,4,Shibani Kurian,2.85,1.39,15.69,0.9,1.44,6,Kotak Mahindra Mutual Fund,3,Equity,Focused Funds,0.5,26.6,8.9,13.415,0.8550031867431485,12.905,Mid (500–5K Cr),60.17004514846168,0,📈 High Return / Moderate Risk,53.87,True,171,291,272,False
Kotak Gilt – Invest Plan – Direct Growth,1000,5000,0.41,1699.0,10,Abhishek Bisen,0.81,1.3,3.24,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4,7.025,2.1682098765432096,6.615,Mid (500–5K Cr),71.86749991119514,1,⭐ High Return / Low Risk,29.46,True,679,546,691,False
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,1000,5000,0.41,1699.0,10,Abhishek Bisen,0.81,1.3,3.23,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4,7.025,2.1749226006191957,6.615,Mid (500–5K Cr),71.86749991119514,1,⭐ High Return / Low Risk,29.46,True,679,546,691,False
Kotak Gold Fund,1000,5000,0.18,1406.0,10,Abhishek Bisen,1.08,-0.32,13.51,0.97,0.48,5,Kotak Mahindra Mutual Fund,3,Other,FoFs Domestic,14.2,12.2,13.7,13.275,0.9826054774241302,13.095,Mid (500–5K Cr),72.45250003122969,0,📈 High Return / Moderate Risk,39.79,True,393,296,719,False
Kotak India EQ Contra Fund,1000,5000,0.81,1440.0,10,Shibani Kurian,3.35,4.24,15.95,0.92,1.57,6,Kotak Mahindra Mutual Fund,4,Equity,Contra Funds,7.3,29.7,14.2,18.245,1.1438871473354233,17.435000000000002,Mid (500–5K Cr),62.02148342711364,0,📈 High Return / Moderate Risk,59.58,True,103,94,184,False
Kotak India Growth Fund,0,5000,0.34,90.0,5,Devender Singhal,3.71,7.67,17.23,0.95,1.75,6,Kotak Mahindra Mutual Fund,0,Equity,Multi Cap Funds,4.8,35.5,15.6,20.405,1.1842716192687173,20.065,Small (<500 Cr),57.92017235840392,0,📈 High Return / Moderate Risk,73.62,True,28,48,107,True
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,1000,5000,1.0,727.0,10,Harish Krishnan,4.55,14.15,16.65,0.6,2.0,6,Kotak Mahindra Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,23.2,39.7,13.9,24.79,1.488888888888889,23.79,Mid (500–5K Cr),60.42696398673322,0,📈 High Return / Moderate Risk,78.33,True,14,12,28,True
Kotak Liquid Fund,1000,100,0.15,33220.0,10,Deepak Agrawal,3.68,1.33,0.38,0.76,0.85,3,Kotak Mahindra Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3,5.01,13.18421052631579,4.859999999999999,Giant (>20K Cr),72.81264710240735,1,⭐ High Return / Low Risk,33.35,True,569,779,643,False
Kotak Low Duration Fund,1000,5000,0.43,7420.0,10,Deepak Agrawal,2.67,2.9,1.3,0.78,1.43,3,Kotak Mahindra Mutual Fund,3,Debt,Low Duration Funds,5.4,6.2,6.9,6.355,4.888461538461539,5.925000000000001,Large (5K–20K Cr),72.74277768101625,1,⭐ High Return / Low Risk,35.28,True,497,642,280,False
Kotak Medium Term Fund,1000,5000,0.58,1934.0,9,Deepak Agrawal,0.71,2.04,3.41,0.79,0.66,3,Kotak Mahindra Mutual Fund,4,Debt,Medium Duration Funds,4.0,7.0,6.6,6.22,1.8240469208211143,5.64,Mid (500–5K Cr),71.86442746791334,1,⭐ High Return / Low Risk,27.78,True,719,659,688,False
Kotak Money Market Fund,0,5000,0.26,14248.0,10,Deepak Agrawal,4.43,2.59,0.51,1.2,1.92,3,Kotak Mahindra Mutual Fund,3,Debt,Money Market Funds,5.6,5.1,6.1,5.65,11.078431372549018,5.39,Large (5K–20K Cr),72.99333303096276,1,⭐ High Return / Low Risk,40.45,True,378,717,48,False
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,1000,5000,0.13,783.0,10,Devender Singhal,4.33,8.04,10.99,0.7,1.91,5,Kotak Mahindra Mutual Fund,0,Other,FoFs Domestic,11.2,25.0,15.3,17.875,1.6264786169244767,17.745,Mid (500–5K Cr),66.40649076283421,0,📈 High Return / Moderate Risk,67.36,True,52,103,52,False
Kotak Overnight Fund,0,5000,0.07,8999.0,4,Deepak Agrawal,-0.1,0.56,0.35,0.42,-0.02,1,Kotak Mahindra Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,8.9,6.45,18.42857142857143,6.38,Large (5K–20K Cr),70.92753231123932,1,⭐ High Return / Low Risk,30.52,True,651,610,796,False
Kotak Savings Fund,1000,5000,0.37,12325.0,10,Deepak Agrawal,4.14,2.57,0.58,1.12,1.85,3,Kotak Mahindra Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,6.2,5.71,9.844827586206897,5.34,Large (5K–20K Cr),72.98017288701807,1,⭐ High Return / Low Risk,38.59,True,415,713,75,False
Kotak Small Cap Fund,500,500,0.59,8617.0,10,Pankaj Tibrewal,4.06,8.99,18.26,0.81,1.98,6,Kotak Mahindra Mutual Fund,4,Equity,Small Cap Mutual Funds,-0.7,43.1,17.0,22.595,1.237404162102957,22.005,Large (5K–20K Cr),51.45949541696551,0,📈 High Return / Moderate Risk,64.46,False,61,20,31,False
Kotak Tax Saver Fund,500,500,0.69,3167.0,10,Harsha Upadhyaya,3.36,4.69,14.44,0.83,1.68,6,Kotak Mahindra Mutual Fund,4,Equity,ELSS Mutual Funds,5.0,28.9,14.4,17.595,1.218490304709141,16.904999999999998,Mid (500–5K Cr),61.45298419880677,0,📈 High Return / Moderate Risk,60.66,True,93,119,134,False
L&T Focused Equity Fund,500,5000,1.09,946.0,4,Venugopal Manghat,2.87,1.855,12.3,0.86,1.29,6,L&T Mutual Fund,3,Equity,Focused Funds,-0.7,33.7,11.3,16.740000000000002,1.3609756097560977,15.650000000000002,Mid (500–5K Cr),56.03328339376719,0,📈 High Return / Moderate Risk,44.11,False,311,145,396,False
L&T India Large Cap Fund,500,5000,1.49,757.0,10,Venugopal Manghat,2.6,-2.34,16.62,0.97,1.18,6,L&T Mutual Fund,2,Equity,Large Cap Mutual Funds,0.8,33.0,12.1,17.155,1.0321901323706375,15.665,Mid (500–5K Cr),57.15656468468325,0,📈 High Return / Moderate Risk,47.92,True,256,130,492,False
LIC MF Arbitrage Fund,1000,5000,0.31,27.0,4,Jaiprakash Toshniwal,0.67,1.23,0.78,0.6,0.55,1,LIC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.5,4.4,8.9,6.645,8.519230769230768,6.335,Small (<500 Cr),71.14741458964104,1,⭐ High Return / Low Risk,29.9,True,665,585,707,False
LIC MF Banking & Fina Serv Fund,1000,5000,1.54,121.0,8,Jaiprakash Toshniwal,2.19,0.9,22.14,0.85,0.97,6,LIC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.9,22.7,8.5,14.55,0.6571815718157181,13.010000000000002,Small (<500 Cr),66.32581370184104,0,📈 High Return / Moderate Risk,37.59,True,438,239,588,False
LIC MF Banking & PSU Debt Fund,1000,5000,0.28,1190.0,10,Marzban Irani,1.49,3.94,1.53,2.05,0.78,2,LIC Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.2,5.7,6.8,5.895,3.852941176470588,5.614999999999999,Mid (500–5K Cr),72.18821490093264,1,⭐ High Return / Low Risk,32.01,True,609,690,664,False
LIC MF Bond Fund,1000,5000,0.21,111.0,10,Marzban Irani,0.32,0.23,2.6,1.24,0.22,3,LIC Mutual Fund,2,Debt,Medium to Long Duration Funds,4.4,4.7,6.2,5.315,2.044230769230769,5.105,Small (<500 Cr),72.52896795486346,1,⭐ High Return / Low Risk,25.57,True,753,744,766,False
LIC MF Children’s Gift Fund,1000,5000,1.86,12.0,10,Karan Desai,2.54,-3.65,13.05,0.9,0.99,6,LIC Mutual Fund,1,Solution Oriented,Childrens Funds,-1.9,17.1,7.6,9.025,0.6915708812260536,7.165,Small (<500 Cr),63.99333303096276,0,📈 High Return / Moderate Risk,18.43,False,807,482,576,False
LIC MF Debt Hybrid Fund,1000,5000,1.34,61.0,10,Karan Desai,2.11,-0.54,4.14,0.61,0.92,4,LIC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.5,8.1,6.7,6.35,1.5338164251207729,5.01,Small (<500 Cr),70.57900063171017,1,⭐ High Return / Low Risk,20.93,True,792,643,618,False
LIC MF Equity Hybrid Fund,1000,5000,1.43,378.0,10,Karan Desai,2.26,-2.85,11.49,0.77,0.99,6,LIC Mutual Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,-0.5,15.1,8.3,8.92,0.7763272410791993,7.49,Small (<500 Cr),65.67199469706277,0,📈 High Return / Moderate Risk,21.23,False,790,486,576,False
LIC MF Flexi Cap Fund,1000,5000,1.74,383.0,10,Amit Nadekar,2.15,-4.31,14.27,0.8,1.02,6,LIC Mutual Fund,2,Equity,Flexi Cap Funds,-0.9,18.3,8.8,10.185,0.7137351086194815,8.445,Small (<500 Cr),63.89315942142145,0,📈 High Return / Moderate Risk,20.93,False,792,449,559,False
LIC MF G-Sec Fund,1000,10000,0.76,46.0,10,Marzban Irani,0.51,0.27,2.23,0.45,0.35,2,LIC Mutual Fund,3,Debt,Gilt Mutual Funds,3.3,4.9,7.7,5.84,2.618834080717489,5.08,Small (<500 Cr),71.26622728583075,1,⭐ High Return / Low Risk,21.31,True,787,698,753,False
LIC MF Infrastructure Fund,1000,5000,1.47,90.0,10,Yogesh Patil,3.89,7.11,16.12,0.57,1.56,6,LIC Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,6.7,29.8,11.2,16.81,1.042803970223325,15.339999999999998,Small (<500 Cr),61.24710912316163,0,📈 High Return / Moderate Risk,52.47,True,186,143,190,False
LIC MF Large & Mid Cap Fund,1000,5000,0.84,1888.0,8,Yogesh Patil,2.59,0.78,14.89,0.84,1.34,6,LIC Mutual Fund,3,Equity,Large & Mid Cap Funds,-4.3,22.8,10.9,12.025,0.8075889858965748,11.185,Mid (500–5K Cr),59.909887223657456,0,📈 High Return / Moderate Risk,36.26,False,473,363,359,False
LIC MF Large Cap Fund,1000,5000,1.39,648.0,10,Yogesh Patil,2.37,-3.35,15.42,0.88,1.08,6,LIC Mutual Fund,2,Equity,Large Cap Mutual Funds,-3.2,19.7,10.9,11.16,0.7237354085603113,9.77,Mid (500–5K Cr),61.94156548944197,0,📈 High Return / Moderate Risk,26.15,False,746,410,534,False
LIC MF Liquid Fund,1000,5000,0.16,5996.0,10,Rahul Singh,4.72,1.33,0.37,0.73,0.97,3,LIC Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.3,5.045,13.635135135135137,4.885,Large (5K–20K Cr),72.86883323112292,1,⭐ High Return / Low Risk,34.26,True,536,773,588,False
LIC MF Nifty 50 Index Fund,1000,5000,0.2,53.0,10,Jaiprakash Toshniwal,3.44,-0.85,16.75,1.0,1.3,6,LIC Mutual Fund,3,Other,Index Funds,1.0,25.8,11.7,14.494999999999996,0.865373134328358,14.294999999999998,Small (<500 Cr),61.05454959634452,0,📈 High Return / Moderate Risk,55.65,True,144,242,387,False
LIC MF Overnight Fund,1000,5000,0.07,951.0,4,Rahul Singh,0.11,0.57,0.35,0.42,0.02,1,LIC Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,8.9,6.45,18.42857142857143,6.38,Mid (500–5K Cr),70.92753231123932,1,⭐ High Return / Low Risk,30.79,True,639,610,789,False
LIC MF S&P BSE Sensex Index Fund,1000,5000,0.38,68.0,10,Jaiprakash Toshniwal,3.4,-1.81,16.89,1.0,1.23,6,LIC Mutual Fund,3,Other,Index Funds,2.2,25.4,12.6,14.999999999999998,0.8880994671403196,14.619999999999996,Small (<500 Cr),61.8726617938956,0,📈 High Return / Moderate Risk,52.98,True,182,211,471,False
LIC MF Savings Fund,1000,5000,0.27,707.0,10,Rahul Singh,4.54,2.95,1.02,1.01,1.57,2,LIC Mutual Fund,3,Debt,Low Duration Funds,5.0,5.9,5.6,5.585,5.475490196078432,5.315,Mid (500–5K Cr),73.03507546146717,1,⭐ High Return / Low Risk,37.2,True,447,722,184,False
LIC MF Short Term Debt Fund,1000,5000,0.37,110.0,4,Marzban Irani,1.26,4.66,1.61,2.57,0.76,3,LIC Mutual Fund,2,Debt,Short Duration Funds,3.7,5.7,8.9,6.74,4.186335403726708,6.37,Small (<500 Cr),70.87035762124196,1,⭐ High Return / Low Risk,32.11,True,605,573,669,False
LIC MF Tax Plan – Direct Growth,500,500,1.47,401.0,10,Amit Nadekar,2.55,-0.72,14.61,0.81,1.25,6,LIC Mutual Fund,2,Equity,ELSS Mutual Funds,-1.9,20.5,9.9,11.25,0.7700205338809035,9.78,Small (<500 Cr),62.28797716869761,0,📈 High Return / Moderate Risk,27.89,False,717,405,462,False
LIC MF Ultra Short Term Fund,1000,5000,0.3,40.0,3,Rahul Singh,1.98,1.33,0.39,0.75,0.85,1,LIC Mutual Fund,1,Debt,Ultra Short Duration Funds,5.0,4.5,8.9,6.58,16.871794871794872,6.28,Small (<500 Cr),71.08432216894214,1,⭐ High Return / Low Risk,34.31,True,531,589,643,False
Mahindra Manulife Aggressive Hybrid Fund,500,1000,0.65,615.0,4,Fatema Pacha,3.57,4.52,12.44,0.85,1.62,6,Mahindra Manulife Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,2.7,24.6,8.9,13.154999999999998,1.0574758842443728,12.504999999999995,Mid (500–5K Cr),62.20513860787926,0,📈 High Return / Moderate Risk,53.4,True,176,306,149,False
Mahindra Manulife Consumption Fund,500,1000,0.82,54.0,4,Abhinav Khandelwal,2.76,0.66,14.14,0.77,1.33,6,Mahindra Manulife Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,21.3,8.9,12.6,0.8910891089108911,11.78,Small (<500 Cr),65.25359193470656,0,📈 High Return / Moderate Risk,44.9,True,305,342,365,False
Mahindra Manulife Dynamic Bond Fund,500,1000,0.51,66.0,5,Rahul Pal,-0.01,-0.19,1.7,0.65,-0.01,3,Mahindra Manulife Mutual Fund,2,Debt,Dynamic Bond,3.4,4.4,8.9,6.225,3.661764705882353,5.715,Small (<500 Cr),70.5636003924216,1,⭐ High Return / Low Risk,21.67,True,784,657,795,False
Mahindra Manulife ELSS Fund,500,500,0.73,525.0,6,Fatema Pacha,3.64,2.66,16.21,0.94,1.53,6,Mahindra Manulife Mutual Fund,3,Equity,ELSS Mutual Funds,2.3,29.3,12.0,16.115000000000002,0.9941394201110426,15.385000000000002,Mid (500–5K Cr),59.816223199813,0,📈 High Return / Moderate Risk,57.15,True,118,170,207,False
Mahindra Manulife Equity Savings Fund,500,1000,0.7,418.0,6,Fatema Pacha,3.1,3.84,8.16,1.24,1.56,4,Mahindra Manulife Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,1.7,32.4,13.3,17.665,2.1648284313725488,16.965,Small (<500 Cr),57.99139766791857,0,📈 High Return / Moderate Risk,62.2,True,77,107,190,False
Mahindra Manulife Large & Mid Cap Fund,500,1000,0.51,1056.0,3,Manish Lodha,3.07,4.98,15.69,0.88,1.61,6,Mahindra Manulife Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.1,30.4,8.9,14.424999999999995,0.9193753983428934,13.914999999999996,Mid (500–5K Cr),57.39726725906268,0,📈 High Return / Moderate Risk,48.29,False,248,247,153,False
Mahindra Manulife Large Cap Fund,500,1000,0.67,215.0,4,Abhinav Khandelwal,2.71,-1.04,15.36,0.9,1.25,6,Mahindra Manulife Mutual Fund,4,Equity,Large Cap Mutual Funds,0.3,25.7,8.9,13.06,0.8502604166666666,12.39,Small (<500 Cr),60.57461276410454,0,📈 High Return / Moderate Risk,48.77,True,238,313,462,False
Mahindra Manulife Liquid Fund,0,1000,0.15,514.0,7,Rahul Pal,5.26,1.41,0.37,0.74,1.15,3,Mahindra Manulife Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.5,5.4,5.145,13.905405405405403,4.994999999999999,Mid (500–5K Cr),72.86883323112292,1,⭐ High Return / Low Risk,35.84,True,483,761,503,False
Mahindra Manulife Low Duration Fund,500,1000,0.37,395.0,6,Rahul Pal,3.11,2.67,0.76,1.07,1.63,3,Mahindra Manulife Mutual Fund,3,Debt,Low Duration Funds,5.2,5.5,6.4,5.845000000000001,7.6907894736842115,5.4750000000000005,Small (<500 Cr),72.86883323112292,1,⭐ High Return / Low Risk,36.93,True,453,696,147,False
Mahindra Manulife Mid Cap Fund,500,1000,0.66,1060.0,5,Abhinav Khandelwal,2.99,-0.01,16.69,0.89,1.57,6,Mahindra Manulife Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.7,31.0,14.7,18.205,1.090772917914919,17.544999999999998,Mid (500–5K Cr),59.75785585201724,0,📈 High Return / Moderate Risk,60.09,True,98,95,184,False
Mahindra Manulife Multi Cap Fund,500,1000,0.49,1515.0,6,Fatema Pacha,2.87,4.41,17.39,0.98,1.58,6,Mahindra Manulife Mutual Fund,0,Equity,Multi Cap Funds,1.2,32.6,15.8,18.76,1.0787809085681426,18.270000000000003,Mid (500–5K Cr),57.78049327064784,0,📈 High Return / Moderate Risk,65.72,True,57,84,175,False
Mahindra Manulife Overnight Fund,0,1000,0.12,345.0,4,Rahul Pal,0.52,0.61,0.34,0.43,0.1,1,Mahindra Manulife Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,8.9,6.45,18.97058823529412,6.33,Small (<500 Cr),70.92753231123932,1,⭐ High Return / Low Risk,30.95,True,635,610,777,False
Mahindra Manulife Short Duration Fund,500,1000,0.29,43.0,2,Rahul Pal,2.87,1.855,12.3,0.86,1.29,3,Mahindra Manulife Mutual Fund,3,Debt,Short Duration Funds,4.4,18.5,8.9,11.36,0.9235772357723576,11.07,Small (<500 Cr),66.29124999895042,0,📈 High Return / Moderate Risk,47.76,True,260,400,396,False
Mahindra Manulife Ultra Short Duration Fund,500,1000,0.35,170.0,3,Rahul Pal,3.72,2.38,0.56,1.05,1.74,2,Mahindra Manulife Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,8.9,6.89,12.303571428571429,6.54,Small (<500 Cr),71.40527172918065,1,⭐ High Return / Low Risk,39.66,True,396,562,113,False
Mirae Asset Banking and PSU Debt Fund,1000,5000,0.34,89.0,3,Basant Bafna,2.87,1.855,12.3,0.86,1.29,2,Mirae Asset Mutual Fund,3,Debt,Banking and PSU Mutual Funds,3.7,18.5,8.9,11.22,0.9121951219512192,10.88,Small (<500 Cr),65.98511531080217,0,📈 High Return / Moderate Risk,47.09,True,265,406,396,False
Mirae Asset Cash Management Fund,1000,5000,0.17,5983.0,10,Abhishek Iyer,6.12,1.3,0.37,0.7,1.0,2,Mirae Asset Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3,5.01,13.54054054054054,4.84,Large (5K–20K Cr),72.81264710240735,1,⭐ High Return / Low Risk,34.21,True,538,779,570,False
Mirae Asset Corporate Bond Fund,1000,5000,0.46,57.0,2,Mahendra Jajoo,2.87,1.855,12.3,0.86,1.29,2,Mirae Asset Mutual Fund,3,Debt,Corporate Bond Mutual Funds,3.7,18.5,8.9,11.22,0.9121951219512192,10.759999999999998,Small (<500 Cr),65.98511531080217,0,📈 High Return / Moderate Risk,45.8,True,289,406,396,False
Mirae Asset Dynamic Bond Fund,1000,5000,0.18,213.0,6,Amit Modani,0.22,0.15,2.49,1.14,0.19,3,Mirae Asset Mutual Fund,2,Debt,Dynamic Bond,2.8,4.5,7.2,5.375,2.15863453815261,5.195,Small (<500 Cr),71.27447446554375,1,⭐ High Return / Low Risk,25.6,True,752,738,769,False
Mirae Asset Emerging Bluechip Fund,1000,5000,0.68,23394.0,10,Neelesh Surana,3.42,3.14,16.51,0.95,1.51,6,Mirae Asset Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.2,29.4,15.1,16.845,1.020290732889158,16.165,Giant (>20K Cr),58.18244365988659,0,📈 High Return / Moderate Risk,46.82,False,268,141,221,False
Mirae Asset Equity Savings Fund,1000,5000,0.43,573.0,4,Harshad Borawake,4.03,4.3,7.17,1.06,1.66,4,Mirae Asset Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,3.7,16.1,8.9,10.38,1.4476987447698744,9.95,Mid (500–5K Cr),67.26650933558376,0,📈 High Return / Moderate Risk,47.37,True,262,441,141,False
Mirae Asset Focused Fund,1000,5000,0.59,8615.0,4,Gaurav Misra,3.4,2.4,16.34,0.92,1.47,6,Mirae Asset Mutual Fund,4,Equity,Focused Funds,-4.9,28.4,8.9,12.965,0.793451652386781,12.375,Large (5K–20K Cr),56.76222428109206,0,📈 High Return / Moderate Risk,43.63,False,316,320,248,False
Mirae Asset Great Consumer Fund,1000,5000,0.5,1989.0,10,Ankit Jain,3.41,6.38,13.39,0.7,1.68,6,Mirae Asset Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.1,27.2,14.0,17.44,1.3024645257654968,16.94,Mid (500–5K Cr),63.713592066431374,0,📈 High Return / Moderate Risk,62.16,True,78,125,134,False
Mirae Asset Healthcare Fund,1000,5000,0.52,1505.0,5,Vrijesh Kasera,2.23,2.95,21.5,0.99,1.0,6,Mirae Asset Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.7,25.0,8.9,10.614999999999998,0.4937209302325581,10.095,Mid (500–5K Cr),55.6147611267716,0,📈 High Return / Moderate Risk,38.2,False,422,430,570,False
Mirae Asset Hybrid – Equity Fund,1000,5000,0.36,6952.0,8,Harshad Borawake,3.27,1.95,12.26,0.84,1.42,6,Mirae Asset Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.7,21.9,12.2,13.495,1.1007340946166395,13.135,Large (5K–20K Cr),63.39069311194489,0,📈 High Return / Moderate Risk,52.37,True,187,284,290,False
